cluster_id,event_count,center_lat,center_lon,avg_speed,avg_accelX,avg_accelY,top_postal,abs_count,esc_count,aeb_count,unique_dates,unique_journeys
296,6,42.80459116666666,-78.66070016666666,17.493333333333336,-1.01,-0.13333333333333333,14059,6,0,0,3,3
104,6,42.77168416666667,-78.63364616666668,44.906666666666666,-2.965,0.05666666666666667,14052,6,0,0,3,3
299,6,42.94781283333333,-78.86857666666667,31.146666666666665,-1.4683333333333335,0.07166666666666667,14216,6,0,0,3,3
281,6,43.009565333333335,-78.65256333333333,5.44,-2.3733333333333335,0.013333333333333334,14032,6,0,0,3,3
98,6,43.04616016666666,-78.70691866666665,13.813333333333333,-0.9116666666666667,-0.06666666666666667,14051,6,0,0,3,3
279,6,42.950724,-78.826359,36.373333333333335,-0.9433333333333332,0.03,14214,6,0,0,3,3
277,6,42.93017116666667,-78.85444333333332,38.13333333333333,-2.7883333333333336,-0.37666666666666665,14214,2,4,0,2,2
275,6,42.90348283333333,-78.88784166666667,34.18666666666667,-2.7516666666666665,0.008333333333333333,14201,6,0,0,3,3
274,6,43.060192,-78.84126366666668,35.36,-1.19,0.024999999999999998,14120,6,0,0,3,3
133,6,42.91602983333333,-78.80534499999999,39.519999999999996,-3.068333333333333,0.019999999999999997,14211,6,0,0,3,3
141,6,42.9795085,-78.79824166666667,27.999999999999996,-4.523333333333333,-0.0033333333333333335,14226,2,0,4,1,2
142,6,42.98022433333333,-78.81453916666666,45.22666666666666,-2.89,-0.0033333333333333327,14226,6,0,0,3,3
252,6,42.97169316666666,-78.67707999999999,18.56,-1.6533333333333335,-0.17500000000000002,14221,6,0,0,3,3
249,6,42.62904616666666,-78.73697333333332,37.65333333333333,-1.9483333333333333,0.024999999999999998,14025,6,0,0,3,3
251,6,43.1100405,-79.03095066666667,43.25333333333333,-1.7083333333333333,0.09333333333333332,14305,6,0,0,3,3
245,6,42.895443,-78.87296933333333,35.519999999999996,-2.68,-0.008333333333333333,14202,6,0,0,3,3
233,6,42.89449533333333,-78.86659116666665,30.346666666666668,-1.595,0.024999999999999998,14203,6,0,0,3,3
155,6,43.012392500000004,-78.82189650000001,29.28,-3.0316666666666667,-0.075,14228,6,0,0,3,3
153,6,43.15957916666665,-78.69685283333332,33.919999999999995,-1.7499999999999998,-0.045000000000000005,14094,4,2,0,3,3
130,6,43.12200416666667,-79.03564633333333,22.560000000000002,-2.588333333333333,-0.03333333333333333,14305,6,0,0,3,3
158,6,43.182503,-78.7670815,6.666666666666667,-1.8433333333333335,-0.12999999999999998,14094,6,0,0,3,3
241,6,42.990952666666665,-78.72469833333334,19.68,-1.88,0.020000000000000007,14221,6,0,0,3,3
175,6,42.91316966666667,-78.67222416666667,25.22666666666667,-1.3716666666666668,-0.325,14086,6,0,0,3,3
171,6,42.80726466666666,-78.75192683333333,14.4,-0.345,-0.055,14224,6,0,0,3,3
237,6,43.17274833333334,-79.03107016666667,40.959999999999994,-2.193333333333333,0.004999999999999998,14092,6,0,0,3,3
166,6,42.932861333333335,-78.73232850000001,16.426666666666666,0.975,0.08333333333333333,14225,4,2,0,2,2
169,6,42.95889833333333,-78.81384733333333,45.06666666666666,-2.7383333333333333,0.021666666666666667,14215,6,0,0,3,3
172,6,43.12071516666666,-79.04365033333333,16.959999999999997,-1.0466666666666669,0.16333333333333333,14305,6,0,0,3,3
231,6,43.11332099999999,-78.714142,16.64,-0.6616666666666665,-0.06833333333333334,14094,6,0,0,3,3
185,6,42.99413933333333,-78.87896983333333,35.73333333333333,-2.0566666666666666,0.0016666666666666635,14150,6,0,0,3,3
188,6,42.88173799999999,-78.87453233333333,12.373333333333333,-1.11,-0.03833333333333334,14203,6,0,0,3,3
193,6,42.8989555,-78.874085,33.81333333333333,-2.1566666666666667,0.018333333333333337,14202,6,0,0,3,3
179,6,43.121798000000005,-79.0363625,26.24,-2.5050000000000003,-0.01833333333333333,14305,6,0,0,2,3
202,6,42.982725499999994,-78.69681733333333,22.453333333333333,0.2816666666666667,-0.18333333333333332,14221,4,2,0,3,3
206,6,42.80534666666667,-78.69621116666666,8.159999999999998,-1.7083333333333337,-0.013333333333333336,14127,6,0,0,2,3
207,6,42.912901833333336,-78.678962,26.986666666666668,-1.09,-0.028333333333333335,14043,6,0,0,3,3
196,6,42.976421833333326,-78.86436466666666,12.32,-0.8283333333333333,-0.023333333333333334,14223,6,0,0,3,3
12,6,42.949450333333324,-78.76617833333333,64.64,-1.9483333333333335,0.03333333333333333,14225,6,0,0,2,3
9,6,42.9047005,-78.81491533333333,31.573333333333334,-2.095,0.023333333333333334,14211,6,0,0,3,3
3,6,42.88967183333333,-78.8787555,21.973333333333333,-1.7566666666666668,0.011666666666666667,14201,6,0,0,3,3
2,6,42.95328866666667,-78.85179516666666,22.986666666666668,-1.4266666666666667,0.05333333333333334,14216,6,0,0,3,3
403,5,42.9546634,-78.7664186,47.67999999999999,-4.774,0.024,14226,0,0,5,2,2
276,5,42.912618800000004,-78.7327472,60.672000000000004,-1.612,-0.012,14043,5,0,0,3,3
229,5,43.0583322,-78.8375962,27.648000000000003,-1.668,-0.018,14120,5,0,0,3,3
224,5,42.8839884,-78.876106,30.72,-2.026,-0.01,14202,5,0,0,3,3
389,5,43.253933399999994,-78.98281300000001,44.032,-6.825999999999999,0.02,14174,2,0,3,1,1
8,4,43.00635175,-78.6454315,8.72,-2.8274999999999997,-0.0225,14032,4,0,0,2,2
15,4,42.8982125,-78.83664375000001,31.92,-2.1325,0.042499999999999996,14212,4,0,0,2,2
13,4,42.98572675,-78.8658455,11.12,-0.31250000000000006,-0.04000000000000001,14223,4,0,0,2,2
405,4,42.7159345,-78.63783699999999,45.28,-2.315,-0.665,14052,2,2,0,1,1
4,4,42.893096,-78.75061325,29.439999999999998,-2.6425,-0.20750000000000002,14227,4,0,0,2,2
7,4,42.95773825,-78.67708275,9.44,-1.6800000000000002,-0.075,14221,4,0,0,2,2
402,4,42.907519,-78.757016,16.8,-0.785,0.07500000000000001,14225,2,2,0,1,1
409,4,42.81552275,-78.75818899999999,16.799999999999997,-0.735,-0.1575,14224,4,0,0,2,2
411,4,42.832792999999995,-78.80589825,32.31999999999999,-2.0325,-0.0425,14220,4,0,0,1,2
412,4,42.797299,-78.83194825,30.880000000000003,-1.045,0.0075,14219,4,0,0,2,2
