geohash7,total_events,brake_count,accel_count,avg_speed,avg_lat,avg_lon,unique_dates,unique_journeys
dr8559,86,68,18,48.2117441860465,42.72365496511628,-78.58993494186046,21,32
dr84b4,71,68,3,30.391267605633807,42.683266295774644,-78.7484768028169,19,34
dpxvvd,88,68,20,43.0153409090909,43.21264010227273,-78.85115086363636,20,40
dr8jk2,82,68,14,48.983414634146364,43.11157910975609,-78.55947570731708,19,33
dpxceh,109,68,41,34.903853211009164,42.475568871559624,-78.96621835779817,22,42
dr8j82,85,68,17,51.255294117647075,43.15676709411765,-78.73635698823529,17,22
dr8j4q,101,68,33,40.470693069306925,43.101224108910884,-78.64631610891087,21,33
dpxbus,107,68,39,40.4607476635514,42.3443192897196,-78.89712942056076,22,43
dpxvfm,84,68,16,43.88666666666668,43.23096086904767,-78.99539480952379,22,33
dr84h6,128,68,60,48.99007812499998,42.55111882812501,-78.55839632031254,26,47
dpx9wr,73,68,5,28.9154794520548,42.49258064383564,-79.17072916438357,20,36
dr8hjb,211,68,143,30.861706161137448,42.89243292417062,-78.49636376777246,28,97
dr819t,73,68,5,39.39,42.480173945205486,-78.68224438356161,23,41
dpxvfw,79,68,11,26.86620253164558,43.23131369620253,-78.98774631645566,25,45
dr85ub,88,68,20,32.334886363636365,42.84951621590912,-78.53682280681818,24,38
dprrqf,76,67,9,34.825131578947364,42.070326460526324,-79.49900846052631,27,45
dr80b3,96,67,29,43.34479166666668,42.32779656250002,-78.73606249999999,14,28
dpxfrg,91,67,24,44.591318681318675,42.60428394505495,-78.75292473626372,24,54
dr8n0j,93,67,26,45.77397849462364,43.273459,-78.74061729032255,25,40
dpx8f2,81,67,14,53.07283950617285,42.3228850617284,-79.34459650617286,22,38
dr8h71,97,67,30,46.575257731958786,42.944565938144336,-78.6132260412371,22,49
dpx8h8,111,67,44,32.063873873873874,42.192286234234224,-79.2489265765766,26,63
dpxvq3,112,67,45,29.421339285714282,43.118502250000006,-78.82447548214286,25,57
dr8hce,88,67,21,40.43909090909092,43.04349848863635,-78.6773987386364,25,38
dpx9e3,108,67,41,47.91851851851852,42.45946919444444,-79.3079825185185,25,49
dpxct1,69,67,2,32.14594202898551,42.458900318840605,-78.87968089855072,20,30
dpxvzv,98,67,31,46.99918367346938,43.22835450000002,-78.75895122448988,29,48
dr85uk,110,67,43,29.606272727272728,42.87110492727273,-78.55397640000004,26,62
dpxyqs,101,67,34,33.099801980198016,43.309514910891096,-78.81294128712871,22,46
dprrv5,123,67,56,29.712845528455297,42.1628446829268,-79.57864127642279,27,61
dr848c,91,67,24,41.84692307692309,42.63398828571428,-78.71373414285712,25,47
dr8nmv,80,67,13,36.45449999999998,43.315623625,-78.49370665000002,22,40
dprz8c,135,67,68,43.738,42.10925949629629,-79.06752594814814,20,42
dpxuue,161,67,94,27.63012422360248,43.04109419875778,-78.90152908695643,27,74
dr8n5b,162,67,95,36.164197530864215,43.24345814197532,-78.57594341975312,29,73
dpx921,81,67,14,32.238518518518504,42.41561869135802,-79.44546927160495,16,28
dpxvft,109,67,42,41.20302752293579,43.23109431192661,-78.98773884403667,28,60
dr81u7,89,67,22,44.42842696629216,42.51515478651685,-78.55528365168537,21,34
dprxt2,156,67,89,35.04025641025639,42.10146048076923,-79.21647062179484,28,62
dr84uj,90,67,23,44.03933333333335,42.70103435555554,-78.57356255555558,24,41
dpxver,109,67,42,41.16908256880736,43.19810421100916,-78.95390777064219,22,40
dr805d,103,67,36,44.225631067961174,42.2029659320388,-78.59224413592234,22,42
dprzgk,122,67,55,32.42713114754098,42.169733844262275,-78.95418505737703,26,63
dr8000,100,67,33,42.560400000000016,42.19151970000001,-78.74826704000002,21,45
dr2psc,86,67,19,36.826046511627915,42.1071851511628,-78.53943030232558,23,42
dr80e0,76,67,9,32.74644736842104,42.278601631578944,-78.61156000000001,15,35
dpx990,88,67,21,47.05,42.452456465909094,-79.40284226136363,24,38
dprzfh,99,66,33,33.12626262626262,42.1674753434344,-79.00542548484847,26,48
dr81pr,76,66,10,39.09328947368423,42.405396486842136,-78.42787134210528,19,27
dr8jf6,85,66,19,44.782705882352964,43.21139627058824,-78.6503663176471,26,45
dpxyju,149,66,83,39.42818791946308,43.26428106040268,-78.84472671140932,28,60
dpxfmn,91,66,25,40.80747252747254,42.61905267032965,-78.8718194835165,20,36
dpxcyc,101,66,35,41.574554455445536,42.503850554455425,-78.79900449504952,19,45
dr85q6,92,66,26,53.6816304347826,42.77038425000002,-78.47028195652175,18,35
dpxgyr,107,66,41,27.367663551401886,42.88688341121493,-78.8203985046729,21,62
dprxw3,95,66,29,47.17515789473685,42.10736867368423,-79.17678483157893,26,42
dr84v6,72,66,6,44.206805555555576,42.68359890277777,-78.51459224999999,17,33
dpx954,110,66,44,45.51154545454545,42.375045536363615,-79.3164175272727,22,40
dpxfn6,87,66,21,33.86505747126438,42.55417220689659,-78.8176602183908,23,39
dr851h,91,66,25,21.659890109890117,42.739821527472515,-78.69993285714285,25,54
dpx89z,82,66,16,31.043292682926833,42.3174923292683,-79.36663910975608,24,39
dr84qn,103,66,37,29.47126213592234,42.61965727184464,-78.48135567961164,21,44
dpxfw0,115,66,49,32.38704347826086,42.62966372173909,-78.82779196521746,31,55
dr8hq6,110,66,44,52.480636363636386,42.94782458181817,-78.4699954,25,58
dpxyj8,96,66,30,33.82937500000001,43.24242097916662,-78.85219655208333,26,44
dr8hmn,94,66,28,64.2545744680851,42.97086118085107,-78.5255115531915,22,38
dr8jjh,88,66,22,45.60409090909091,43.09032730681818,-78.52020365909092,24,37
dpxyrn,92,66,26,41.70728260869566,43.32278097826085,-78.78859068478265,20,39
dpxfyh,115,66,49,30.68573913043479,42.6963026173913,-78.8334404608696,26,48
dprrs5,86,66,20,48.35616279069765,42.11923717441863,-79.6188693837209,21,37
dpxvvf,101,66,35,55.91970297029703,43.21465691089112,-78.83935592079206,27,55
dr8hkj,104,65,39,35.18048076923077,42.96514136538464,-78.57024700961541,25,52
dpx9ey,136,65,71,40.84852941176469,42.485317801470565,-79.27793637499997,24,59
dr8hvu,99,65,34,42.35929292929293,43.04753995959596,-78.49055344444446,21,49
dr8nmx,76,65,11,35.771184210526314,43.32758167105264,-78.50070731578944,23,35
dr8ne5,100,65,35,47.2839,43.34920789999999,-78.61208755,17,39
