cluster_id,event_count,center_lat,center_lon,avg_speed,avg_accelX,avg_accelY,top_postal,abs_count,esc_count,aeb_count,unique_dates,unique_journeys,hard_brake_nearby,brake_unique_dates,brake_unique_journeys,brake_avg_speed,score_safety_events,score_brake_nearby,score_persistence,confidence_score,n_events_matched,n_dry_warm,n_dry_cold,n_rainy,n_rainy_cold,pct_dry,pct_rainy,avg_temp_at_event,weather_independence,final_confidence
42,10,42.9454392,-78.8721535,36.8,-0.807,0.199,14216,4,6,0,5,5,67,23,37,20.652238805970143,0.0303030303030303,0.0045965971459934,0.2105263157894736,0.0663616000696782,9,2,0,7,0,0.2222222222222222,0.7777777777777778,13.70436729172936,1.0,0.0663616000696782
311,8,42.98707675,-78.81733787499999,22.12,-1.38375,-0.2725,14226,8,0,0,3,4,1595,32,916,21.35507210031348,0.0202020202020202,0.1094264544456641,0.1052631578947368,0.0726958566104747,8,0,0,8,0,0.0,1.0,11.545316559093191,0.9060688055662931,0.06586744796867132
251,6,43.1100405,-79.03095066666667,43.25333333333333,-1.7083333333333333,0.0933333333333333,14305,6,0,0,3,3,1752,32,880,24.57906392694064,0.0101010101010101,0.1201975850713501,0.1052631578947368,0.0724253482890608,6,0,0,6,0,0.0,1.0,14.9503098349744,0.9060688055662931,0.0656223488169921
193,6,42.8989555,-78.874085,33.81333333333333,-2.1566666666666667,0.0183333333333333,14202,6,0,0,3,3,1752,32,1040,22.17030821917809,0.0101010101010101,0.1201975850713501,0.1052631578947368,0.0724253482890608,6,0,0,6,0,0.0,1.0,20.49991820902829,0.9060688055662931,0.0656223488169921
260,6,42.965047166666665,-78.68265050000001,18.933333333333334,-1.5766666666666669,0.1016666666666666,14221,6,0,0,3,3,1747,32,776,31.96862621637092,0.0101010101010101,0.1198545554335894,0.1052631578947368,0.0723052879158445,6,0,0,6,0,0.0,1.0,6.568857923980086,0.9060688055662931,0.06551356585803615
302,4,42.9672975,-78.867976,36.88,-1.9850000000000003,-0.02,14217,4,0,0,2,2,2437,32,1423,16.16378744357817,0.0,0.1671926454445664,0.0526315789473684,0.0716753206424403,4,0,0,4,0,0.0,1.0,14.202620048171761,0.9060688055662931,0.06494277216307695
160,12,42.99522425,-78.74565408333332,14.053333333333333,-0.6166666666666667,-0.0533333333333333,14221,12,0,0,5,6,90,27,52,24.524888888888885,0.0404040404040404,0.0061745334796926,0.2105263157894736,0.070954281826877,12,0,0,12,0,0.0,1.0,9.297065395152512,0.9060688055662931,0.06428946138469259
341,8,42.808856625,-78.823908375,23.4,-1.8725,-0.13625,14218,8,0,0,4,4,947,31,488,24.31722280887012,0.0202020202020202,0.064969813391877,0.1578947368421052,0.0702939269784913,8,0,0,8,0,0.0,1.0,11.419023425984317,0.9060688055662931,0.06369113445596583
109,8,42.0977695,-79.2908435,14.159999999999998,-1.095,0.06,14701,8,0,0,4,4,944,32,503,23.438273305084746,0.0202020202020202,0.0647639956092206,0.1578947368421052,0.0702218907545616,8,0,0,8,0,0.0,1.0,11.061370230928333,0.9060688055662931,0.06362586468059235
303,4,42.9380205,-78.8392095,29.44,-1.4225,0.06,14214,4,0,0,2,2,2376,32,1261,21.822091750841743,0.0,0.1630076838638858,0.0526315789473684,0.0702105840892021,4,0,0,4,0,0.0,1.0,13.516842155715198,0.9060688055662931,0.06361562006381513
