hour_key,wiper_on,wiper_off,wiper_total,rain_ratio,is_rainy,avg_temp,min_temp,max_temp,is_cold,is_freezing
2022-10-01 06,59,41,138,0.427536231884058,True,9.014436863443093,6.0,21.0,False,False
2022-10-01 07,113,64,258,0.437984496124031,True,9.293443320412216,6.0,21.0,False,False
2022-10-01 08,207,70,374,0.553475935828877,True,10.157030977203572,7.0,27.5,False,False
2022-10-01 09,184,22,269,0.6840148698884758,True,12.167944797426838,7.5,31.0,False,False
2022-10-01 10,206,20,271,0.7601476014760148,True,14.699094546220257,9.5,33.5,False,False
2022-10-01 11,231,11,278,0.8309352517985612,True,16.657724014336917,10.0,30.5,False,False
2022-10-01 12,253,10,300,0.8433333333333334,True,18.028222730739895,12.0,37.0,False,False
2022-10-01 13,230,18,293,0.7849829351535836,True,18.612674404971276,12.5,36.0,False,False
2022-10-01 14,193,15,254,0.7598425196850394,True,18.642888044993512,13.0,34.5,False,False
2022-10-01 15,204,13,252,0.8095238095238095,True,18.347149147013013,13.0,40.0,False,False
2022-10-01 16,189,3,227,0.8325991189427313,True,17.773724231609226,13.0,44.5,False,False
2022-10-01 17,182,7,232,0.7844827586206896,True,17.007759607638054,12.5,45.5,False,False
2022-10-01 18,178,8,214,0.8317757009345794,True,16.019859166073264,11.5,49.5,False,False
2022-10-01 19,125,12,170,0.7352941176470589,True,15.269734759764512,10.5,28.0,False,False
2022-10-01 20,80,7,114,0.7017543859649122,True,14.568404437363546,10.5,33.5,False,False
2022-10-01 21,46,2,55,0.8363636363636363,True,14.493850344628338,11.0,29.0,False,False
2022-10-01 22,40,3,57,0.7017543859649122,True,14.66873309862748,10.5,28.5,False,False
2022-10-01 23,24,1,45,0.5333333333333333,True,14.861115337796713,10.5,37.0,False,False
2022-10-02 00,19,4,29,0.6551724137931034,True,14.750865717583686,11.5,27.5,False,False
2022-10-02 01,11,1,14,0.7857142857142857,True,14.154381829869296,11.0,27.5,False,False
2022-10-02 02,4,0,4,1.0,True,13.424086021505376,9.5,23.5,False,False
