cluster_id,event_count,center_lat,center_lon,avg_speed,avg_accelX,top_postal,abs_count,esc_count,aeb_count,unique_dates,unique_journeys
14,22,43.005461727272724,-78.64680695454544,6.370909090909091,-2.937727272727273,14032,22,0,0,9,9
5,22,42.889494636363644,-78.88009004545455,35.66545454545455,-1.260909090909091,14201,20,2,0,11,11
66,22,42.99141313636363,-78.82102895454545,28.974545454545456,-1.5118181818181817,14226,22,0,0,9,11
173,20,42.727529249999996,-78.64716665,33.168000000000006,-1.7439999999999998,14052,8,12,0,5,6
252,18,42.980018,-78.81575500000001,31.733333333333334,-2.256666666666667,14226,18,0,0,9,9
29,18,42.88890177777778,-78.86849711111111,40.99555555555555,-1.7844444444444447,14203,14,4,0,6,8
34,18,42.941768388888896,-78.87860922222222,27.200000000000003,-1.7349999999999999,14207,18,0,0,7,9
83,18,42.93274538888889,-78.81333705555555,27.84,-2.078888888888889,14215,18,0,0,9,9
438,18,42.82878011111111,-78.78656922222223,24.995555555555555,-1.7872222222222223,14224,18,0,0,7,9
220,18,42.899406388888885,-78.87493005555555,22.915555555555557,-1.9622222222222223,14201,18,0,0,8,9
330,18,42.962291722222226,-78.8138805,32.72888888888889,-2.0994444444444444,14226,18,0,0,8,9
354,16,42.957572812500004,-78.81870656250001,27.62,-2.181875,14214,16,0,0,7,8
343,16,42.9776945,-78.72469525,14.3,-1.8312500000000003,14221,16,0,0,7,8
479,16,42.9182980625,-78.6578273125,16.740000000000002,-1.81125,14086,16,0,0,7,8
70,16,42.7972725,-78.75033275,21.060000000000002,-2.0543750000000003,14127,16,0,0,8,8
31,14,43.12246921428571,-78.69648114285714,18.76571428571429,-2.2021428571428574,14094,14,0,0,7,7
456,14,42.94869978571428,-78.86862999999998,23.97714285714286,-1.8900000000000001,14216,14,0,0,6,7
638,14,42.94050221428571,-78.84382471428573,19.45142857142857,-1.2471428571428569,14214,14,0,0,6,7
637,14,42.920813571428575,-78.86377992857142,23.90857142857143,-1.8607142857142858,14209,14,0,0,6,7
94,14,42.89701607142856,-78.85405057142859,40.31999999999999,-2.027142857142857,14211,14,0,0,6,7
492,14,42.902572071428565,-78.8398322142857,32.89142857142857,-2.4857142857142853,14211,14,0,0,7,7
65,14,43.20107985714286,-78.88563614285715,38.971428571428575,-1.657142857142857,14131,14,0,0,6,7
267,14,42.91565114285714,-78.87612892857145,25.34857142857143,-2.607142857142857,14222,14,0,0,6,7
331,14,42.97783092857143,-78.78145192857143,31.702857142857145,-2.6700000000000004,14221,14,0,0,7,7
1,14,42.94757871428571,-78.84226814285715,22.65142857142857,-1.3478571428571429,14216,14,0,0,6,7
172,14,42.77122707142858,-78.59535857142858,14.582857142857142,-0.5021428571428571,14052,14,0,0,6,7
161,14,42.876961785714286,-78.79250528571428,51.040000000000006,-0.6064285714285713,14206,14,0,0,5,7
212,14,42.95775028571428,-78.85876250000001,29.622857142857146,-1.3507142857142858,14216,12,2,0,6,7
211,14,43.0476995,-78.4993135,47.40571428571429,-1.9049999999999996,14001,14,0,0,5,7
268,14,43.08466549999999,-78.78814264285715,15.588571428571429,-1.1864285714285714,14120,14,0,0,6,7
1006,14,43.2865715,-78.71027107142856,22.400000000000002,-1.78,14108,14,0,0,6,7
